rm *.o
gcc -c -I ./includes ./src/futoshiki.c
gcc -pg -o ./build/futoshiki futoshiki.o
clear
[H[2J# ./build/futoshiki < ./test/fwtest.in
./build/futoshiki < ./test/futoshiki.dat
board,calls,status
1,220,success
2,30,success
3,33,success
4,114,success
5,81,success
6,99,success
7,17,success
8,26,success
9,30,success
10,24,success
11,113,success
12,31,success
13,34,success
14,33,success
15,26,success
16,128,success
17,558,success
18,52,success
19,53948,success
20,61,success
21,53,success
22,46,success
23,363,success
24,1000035,overflow
25,824,success
26,3458,success
27,579,success
28,38,success
29,295,success
30,147,success
31,1606,success
32,1486,success
33,2177,success
34,72,success
35,11340,success
36,123,success
37,3832,success
38,112,success
39,2380,success
40,13267,success
41,1957,success
42,7329,success
43,68,success
44,76,success
45,1000026,overflow
46,1564,success
47,3255,success
48,112,success
49,113753,success
50,1000062,overflow
51,1000076,overflow
52,1000090,overflow
53,135,success
54,9371,success
55,1000090,overflow
56,1000041,overflow
57,119,success
58,241573,success
59,20340,success
60,95,success
61,101,success
62,1000083,overflow
63,10077,success
64,61237,success
65,192,success
66,1000056,overflow
67,1000080,overflow
68,157,success
69,201,success
70,1000112,overflow
71,26522,success
72,1000104,overflow
73,793869,success
74,1000136,overflow
75,172668,success
76,1000168,overflow
77,316103,success
78,293922,success
79,205055,success
80,212,success
81,1000215,overflow
82,868070,success
83,1000134,overflow
84,187,success
85,184509,success
86,828679,success
87,1000143,overflow
88,937894,success
89,378702,success
90,1000089,overflow
91,175,success
92,6739,success
93,1000089,overflow
94,1000116,overflow
95,1000161,overflow
96,1000152,overflow
97,1000143,overflow
98,1000125,overflow
99,1000125,overflow
100,1000107,overflow
