rm *.o
gcc -c -I ./includes ./src/futoshiki.c
gcc -pg -o ./build/futoshiki futoshiki.o
clear
[H[2J# ./build/futoshiki < ./test/fwtest.in
./build/futoshiki < ./test/futoshiki.dat
board,calls,status
1,248,success
2,40,success
3,986,success
4,71,success
5,784,success
6,228,success
7,83,success
8,47,success
9,334,success
10,757,success
11,77,success
12,43,success
13,44,success
14,49,success
15,37,success
16,336,success
17,192,success
18,11299,success
19,1337,success
20,933,success
21,1287,success
22,31363,success
23,182,success
24,12244,success
25,525,success
26,1100,success
27,1534,success
28,81,success
29,83654,success
30,271,success
31,912,success
32,1880,success
33,94831,success
34,563,success
35,3128,success
36,274,success
37,37041,success
38,204,success
39,215,success
40,1968,success
41,2091,success
42,1360,success
43,1000068,overflow
44,765218,success
45,390866,success
46,9103,success
47,1471,success
48,6047,success
49,1000111,overflow
50,1000076,overflow
51,23602,success
52,1000097,overflow
53,1000097,overflow
54,1000062,overflow
55,5983,success
56,572994,success
57,274626,success
58,5287,success
59,59376,success
60,1000090,overflow
61,3070,success
62,1000069,overflow
63,1183,success
64,7253,success
65,1000144,overflow
66,1000056,overflow
67,1000080,overflow
68,1000128,overflow
69,4105,success
70,1000136,overflow
71,1000136,overflow
72,1000144,overflow
73,51108,success
74,1000104,overflow
75,1000168,overflow
76,1000168,overflow
77,1000176,overflow
78,75409,success
79,1000184,overflow
80,1000144,overflow
81,1000161,overflow
82,287257,success
83,1000233,overflow
84,1000197,overflow
85,1000188,overflow
86,28790,success
87,1000206,overflow
88,1000278,overflow
89,1000215,overflow
90,1000179,overflow
91,1000125,overflow
92,1000107,overflow
93,1000125,overflow
94,1000116,overflow
95,193411,success
96,1000215,overflow
97,1000152,overflow
98,1000134,overflow
99,1000125,overflow
100,1000116,overflow
